Month,Year,Median Home Values (in thousands of dollars),30-year Fixed Mortgage Rate (%),Private Housing Permits (in thousands),Total Vehicle Sales (in thousands),Discount Rate (%),Personal Savings Rate (%),Real Disposable Personal Income: Per Capita (in thousands of dollars),Industrial Production Index (%),Commercial and Industrial Loans (in thousands of dollars),CPI for All Urban Consumers (%),Seasonally Adjusted Unemployment Rate (%),Federal Funds Effective Rate (%),S&P500 price close at end of the month (^GSPC) (dollars)
January,2000,131.59,8.21,107.30,18635.00,5.00,5.00,33.12,91.63,1003637000.00,168.80,4.00,5.45,1366.42
February,2000,131.36,8.33,121.80,19401.00,5.24,4.50,33.22,91.96,1016649100.00,169.80,4.10,5.73,1498.58
March,2000,132.87,8.24,153.70,18343.00,5.34,4.30,33.28,92.31,1026226300.00,171.20,4.00,5.85,1452.43
April,2000,134.13,8.15,138.90,17939.00,5.50,4.80,33.43,92.89,1035175600.00,171.30,3.80,6.02,1420.60
May,2000,135.19,8.52,148.90,17943.00,5.71,4.80,33.54,93.16,1052021300.00,171.50,4.00,6.27,1454.60
June,2000,136.57,8.29,155.10,17596.00,6.00,4.80,33.60,93.22,1062766300.00,172.40,4.00,6.53,1430.83
July,2000,137.26,8.15,129.80,17316.00,6.00,5.10,33.75,93.04,1068573600.00,172.80,4.00,6.54,1517.68
August,2000,137.66,8.03,146.80,17531.00,6.00,5.20,33.92,92.79,1071690400.00,172.80,4.10,6.50,1436.51
September,2000,138.24,7.91,131.40,18654.00,6.00,4.50,33.92,93.15,1072967300.00,173.70,3.90,6.52,1429.40
October,2000,138.69,7.80,134.80,17514.00,6.00,4.80,33.99,92.84,1077976900.00,174.00,3.90,6.51,1314.95
November,2000,139.13,7.75,121.00,16634.00,6.00,4.70,33.97,92.84,1080497600.00,174.10,3.90,6.51,1320.28
December,2000,139.56,7.38,102.90,16222.00,6.00,4.40,34.00,92.53,1085297200.00,174.00,3.90,6.40,1366.01
January,2001,140.15,7.03,117.00,17652.00,5.52,4.90,34.15,92.03,1094091500.00,175.10,4.20,5.98,1239.94
February,2001,141.06,7.05,114.30,17826.00,5.00,5.00,34.17,91.41,1094335600.00,175.80,4.20,5.49,1160.33
March,2001,142.32,6.95,147.70,17248.00,4.81,5.30,34.23,91.18,1091984500.00,176.20,4.30,5.31,1249.46
April,2001,143.56,7.08,148.60,16872.00,4.28,5.10,34.10,90.88,1089164300.00,176.90,4.40,4.80,1255.82
May,2001,144.75,7.15,159.80,16876.00,3.73,4.50,33.99,90.38,1084144000.00,177.70,4.30,4.21,1224.38
June,2001,145.94,7.16,153.90,17464.00,3.47,4.40,33.95,89.86,1072030900.00,178.00,4.50,3.97,1211.23
July,2001,146.76,7.13,140.60,16463.00,3.25,5.60,34.42,89.33,1063971800.00,177.50,4.60,3.77,1133.58
August,2001,147.32,6.95,151.40,16348.00,3.16,6.60,34.95,89.22,1055859400.00,177.50,4.90,3.65,1040.94
September,2001,147.83,6.82,125.20,16365.00,2.77,7.00,34.62,88.75,1059276500.00,178.30,5.00,3.07,1059.78
October,2001,148.41,6.62,140.20,22055.00,2.02,3.10,33.98,88.48,1044591400.00,177.70,5.30,2.49,1139.45
November,2001,148.36,6.66,124.40,18031.00,1.58,3.50,34.00,87.96,1034046900.00,177.40,5.50,2.09,1148.08
December,2001,148.87,7.07,113.60,16465.00,1.33,3.80,34.03,87.93,1021813000.00,176.70,5.70,1.82,1130.20
January,2002,149.36,7.00,115.70,16523.00,1.25,5.70,34.71,88.55,1012119100.00,177.10,5.70,1.73,1106.73
February,2002,150.20,6.89,122.50,17304.00,1.25,5.50,34.74,88.54,1016842800.00,177.80,5.70,1.74,1147.39
March,2002,151.69,7.01,143.20,17107.00,1.25,5.60,34.73,89.21,1011825100.00,178.80,5.70,1.73,1076.92
April,2002,152.95,6.99,156.00,17668.00,1.25,5.50,34.83,89.64,1000265600.00,179.80,5.90,1.75,1067.14
May,2002,154.62,6.81,164.20,16197.00,1.25,6.20,34.94,90.03,990956000.00,179.80,5.80,1.75,989.82
June,2002,156.13,6.65,158.00,16953.00,1.25,6.20,35.02,90.76,984084500.00,179.90,5.80,1.75,911.62
July,2002,157.15,6.49,159.30,18147.00,1.25,5.40,34.90,90.74,976682100.00,180.10,5.80,1.73,916.07
August,2002,158.04,6.29,153.70,18449.00,1.25,5.40,34.88,90.63,972471200.00,180.70,5.70,1.74,815.28
September,2002,158.71,6.09,149.50,16665.00,1.25,5.90,34.89,90.72,966314400.00,181.00,5.70,1.75,885.76
October,2002,159.42,6.11,162.90,16259.00,1.25,5.80,34.96,90.49,962839800.00,181.30,5.70,1.75,936.31
November,2002,159.80,6.07,126.80,16520.00,0.83,5.80,35.03,90.98,960551100.00,181.30,5.90,1.34,879.82
December,2002,160.43,6.05,135.80,17866.00,0.75,5.40,35.09,90.49,957846000.00,180.90,6.00,1.24,855.70
January,2003,160.94,5.92,126.40,16708.00,2.25,5.40,35.02,91.24,950361700.00,181.70,5.80,1.24,841.15
February,2003,162.00,5.84,128.50,16114.00,2.25,5.30,34.87,91.34,941635000.00,183.10,5.90,1.26,848.18
March,2003,163.11,5.75,148.40,16467.00,2.25,5.00,34.93,91.07,937510700.00,184.20,5.90,1.25,916.92
April,2003,164.65,5.81,167.60,16751.00,2.25,5.10,35.11,90.49,935094200.00,183.80,6.00,1.26,963.59
May,2003,166.27,5.48,169.50,16470.00,2.25,5.50,35.35,90.47,924066700.00,183.50,6.10,1.26,974.50
June,2003,167.63,5.23,175.80,17013.00,2.00,5.30,35.43,90.59,917374500.00,183.70,6.30,1.22,990.31
July,2003,168.91,5.63,173.00,17117.00,2.00,6.10,35.83,91.06,921511800.00,183.90,6.20,1.01,1008.01
August,2003,170.01,6.26,169.90,18262.00,2.00,5.90,36.04,90.85,909699600.00,184.60,6.10,1.03,995.97
September,2003,171.06,6.15,169.10,17286.00,2.00,5.10,35.61,91.45,899906900.00,185.20,6.10,1.01,1050.71
October,2003,171.60,5.95,182.80,16489.00,2.00,5.30,35.71,91.56,886951200.00,185.00,6.00,1.01,1058.20
November,2003,172.34,5.93,130.50,17563.00,2.00,5.30,35.90,92.18,881814900.00,184.50,5.80,1.00,1111.92
December,2003,173.15,5.88,147.90,17357.00,2.00,5.20,35.90,92.25,883628500.00,184.30,5.70,0.98,1131.13
January,2004,173.68,5.71,132.00,16695.00,2.00,4.90,35.86,92.41,876398700.00,185.20,5.70,1.00,1144.94
February,2004,175.15,5.64,137.10,17032.00,2.00,4.90,35.90,92.97,874564700.00,186.20,5.60,1.01,1126.21
March,2004,177.08,5.45,190.70,17247.00,2.00,4.70,36.02,92.60,869372900.00,187.40,5.80,1.00,1107.30
April,2004,179.18,5.83,192.50,16898.00,2.00,5.10,36.12,92.98,864493400.00,188.00,5.60,1.00,1120.68
May,2004,181.73,6.27,188.40,18186.00,2.00,5.10,36.27,93.64,862841400.00,189.10,5.60,1.00,1140.84
June,2004,184.20,6.29,197.10,16173.00,2.25,5.60,36.27,92.93,869156100.00,189.70,5.60,1.03,1101.72
July,2004,185.72,6.06,185.90,17309.00,2.25,5.00,36.33,93.61,878138800.00,189.40,5.50,1.26,1104.24
August,2004,186.96,5.87,185.20,17157.00,2.50,5.00,36.42,93.70,883045600.00,189.50,5.40,1.43,1114.58
September,2004,187.99,5.75,174.90,17875.00,2.75,4.40,36.42,93.80,886834000.00,189.90,5.40,1.61,1130.20
October,2004,188.85,5.72,174.50,17514.00,2.75,4.30,36.41,94.62,889305400.00,190.90,5.50,1.76,1173.82
November,2004,189.86,5.73,156.40,17362.00,3.00,3.80,36.28,94.85,897655400.00,191.00,5.40,1.93,1211.92
December,2004,190.78,5.75,155.20,18102.00,3.25,6.60,37.59,95.58,906436200.00,190.30,5.40,2.16,1181.27
January,2005,191.44,5.71,139.70,16889.00,3.25,3.20,36.20,95.93,921444500.00,190.70,5.30,2.28,1203.60
February,2005,193.11,5.63,149.40,16886.00,3.50,2.90,36.20,96.63,931846900.00,191.80,5.40,2.50,1180.59
March,2005,195.80,5.93,190.50,17413.00,3.75,3.10,36.31,96.49,945827100.00,193.30,5.20,2.63,1156.85
April,2005,198.34,5.86,193.20,17756.00,3.75,2.70,36.40,96.68,958557200.00,194.60,5.20,2.79,1191.50
May,2005,200.96,5.72,193.10,17414.00,4.00,3.20,36.54,96.79,968643000.00,194.40,5.10,3.00,1191.33
June,2005,203.39,5.58,211.90,18482.00,4.25,2.60,36.59,97.19,975069500.00,194.50,5.00,3.04,1234.18
July,2005,205.41,5.70,185.50,21135.00,4.25,2.10,36.61,96.90,989664800.00,195.40,5.00,3.26,1220.33
August,2005,206.78,5.82,208.00,17418.00,4.50,2.60,36.64,97.22,995897800.00,196.40,4.90,3.50,1228.81
September,2005,208.07,5.77,193.70,16927.00,4.75,2.70,36.47,95.35,1000958300.00,198.80,5.00,3.62,1207.01
October,2005,208.63,6.07,176.00,15336.00,4.75,2.90,36.62,96.50,1014479800.00,199.20,5.00,3.78,1249.48
November,2005,209.15,6.33,162.90,16524.00,5.00,3.20,36.82,97.56,1022641800.00,197.60,5.00,4.00,1248.29
December,2005,209.53,6.27,151.30,17174.00,5.25,3.10,36.92,98.02,1036175000.00,196.80,4.90,4.16,1280.08
January,2006,210.04,6.15,152.60,18081.00,5.50,3.70,37.30,98.20,1048810700.00,198.30,4.70,4.29,1280.66
February,2006,210.90,6.25,151.00,17071.00,5.50,3.90,37.45,98.24,1058469800.00,198.70,4.80,4.49,1294.87
March,2006,212.53,6.32,194.20,16960.00,5.75,4.10,37.58,98.47,1068688400.00,199.80,4.70,4.59,1310.61
April,2006,213.89,6.51,168.60,17127.00,5.75,3.80,37.53,98.78,1084974600.00,201.50,4.70,4.79,1270.09
May,2006,215.61,6.60,184.40,16729.00,6.00,3.60,37.48,98.79,1103189800.00,202.50,4.60,4.94,1270.20
June,2006,216.35,6.68,184.20,16900.00,6.25,3.70,37.50,99.11,1118786500.00,202.90,4.60,4.99,1276.66
July,2006,216.11,6.76,148.00,17662.00,6.25,3.10,37.46,99.04,1130665100.00,203.50,4.70,5.24,1303.82
August,2006,216.57,6.52,161.20,16458.00,6.25,3.30,37.40,99.46,1152311600.00,203.90,4.70,5.25,1335.85
September,2006,215.81,6.40,136.60,16974.00,6.25,3.20,37.58,99.25,1151211600.00,202.90,4.50,5.25,1377.94
October,2006,215.42,6.36,133.10,16865.00,6.25,3.20,37.72,99.15,1161335400.00,201.80,4.40,5.25,1400.63
November,2006,215.13,6.24,111.40,16657.00,6.25,3.60,37.85,99.10,1170018500.00,201.50,4.50,5.25,1418.30
December,2006,214.21,6.14,113.60,17107.00,6.25,3.50,38.00,100.11,1182589800.00,201.80,4.40,5.24,1438.24
January,2007,214.07,6.22,114.10,16896.00,6.25,3.20,37.96,99.72,1192445300.00,202.42,4.60,5.25,1406.82
February,2007,214.73,6.29,112.10,17169.00,6.25,3.60,38.06,100.69,1205051000.00,203.50,4.50,5.26,1420.86
March,2007,216.39,6.16,139.40,16438.00,6.25,3.90,38.15,100.89,1215776000.00,205.35,4.40,5.26,1482.37
April,2007,217.53,6.18,130.90,16615.00,6.25,3.80,38.17,101.58,1226463500.00,206.69,4.50,5.25,1530.62
May,2007,217.80,6.26,146.00,16661.00,6.25,3.60,38.16,101.65,1244466600.00,207.95,4.40,5.25,1503.35
June,2007,217.74,6.66,135.60,16179.00,6.25,3.50,38.10,101.67,1263864200.00,208.35,4.60,5.25,1455.27
July,2007,216.53,6.70,122.50,15837.00,6.25,3.40,38.11,101.56,1281781600.00,208.30,4.70,5.26,1473.99
August,2007,215.36,6.57,126.00,16379.00,5.75,3.10,38.09,101.78,1307658200.00,207.92,4.60,5.02,1526.75
September,2007,213.70,6.38,100.50,16532.00,5.25,3.10,38.13,102.03,1350044000.00,208.49,4.70,4.94,1549.38
October,2007,211.36,6.38,103.80,16455.00,5.00,3.00,38.08,101.73,1374813200.00,208.94,4.70,4.76,1481.14
November,2007,208.98,6.21,89.50,16354.00,5.00,2.80,38.02,102.32,1393774400.00,210.18,4.70,4.49,1468.36
December,2007,206.81,6.10,77.80,16030.00,4.75,3.20,38.12,102.31,1417693300.00,210.04,5.00,4.24,1378.55
January,2008,204.17,5.76,77.40,15705.00,3.50,3.20,38.10,102.17,1440991400.00,211.08,5.00,3.94,1330.63
February,2008,203.45,5.92,75.00,15491.00,3.50,3.60,38.05,101.77,1449110600.00,211.69,4.90,2.98,1322.70
March,2008,202.41,5.97,79.10,15114.00,2.50,3.40,38.02,101.40,1470720700.00,213.53,5.10,2.61,1385.59
April,2008,201.36,5.92,91.50,14605.00,2.25,2.90,37.84,100.72,1490075500.00,214.82,5.00,2.28,1400.38
May,2008,200.53,6.04,92.30,14697.00,2.25,7.30,39.65,100.14,1491198200.00,216.63,5.40,1.98,1280.00
June,2008,200.04,6.32,110.60,14377.00,2.25,5.10,38.62,99.91,1498212600.00,218.82,5.60,2.00,1267.38
July,2008,198.09,6.43,85.90,13006.00,2.25,4.00,37.99,99.49,1512164100.00,219.96,5.80,2.01,1282.83
August,2008,195.76,6.48,76.30,14119.00,2.25,3.50,37.74,97.94,1513717900.00,219.09,6.10,2.00,1166.36
September,2008,193.22,6.04,70.90,12961.00,2.25,4.30,37.79,93.66,1530928200.00,218.78,6.10,1.81,968.75
October,2008,191.14,6.20,63.70,10933.00,1.25,5.20,38.04,94.58,1586561500.00,216.57,6.50,0.97,896.24
November,2008,186.96,6.09,41.50,10526.00,1.25,6.30,38.33,93.35,1575618500.00,212.43,6.80,0.39,903.25
December,2008,185.23,5.29,41.20,10383.00,0.50,6.20,38.11,90.72,1558797600.00,210.23,7.30,0.16,825.88
January,2009,185.84,5.05,37.60,9786.00,0.50,6.20,38.29,88.47,1544809700.00,211.14,7.80,0.15,735.09
February,2009,186.53,5.13,39.20,9223.00,0.50,5.60,37.88,87.94,1532684800.00,212.19,8.30,0.22,797.87
March,2009,185.01,5.00,45.40,9748.00,0.50,5.90,37.83,86.55,1511255500.00,212.71,8.70,0.18,872.81
April,2009,185.14,4.81,47.80,9379.00,0.50,6.60,38.03,85.86,1491603500.00,213.24,9.00,0.15,919.14
May,2009,186.48,4.86,49.50,10176.00,0.50,7.90,38.54,85.00,1469413100.00,213.86,9.40,0.18,919.32
June,2009,187.27,5.42,61.30,10149.00,0.50,6.20,37.81,84.73,1436301700.00,215.69,9.50,0.21,987.48
July,2009,186.58,5.22,56.10,11566.00,0.50,5.50,37.62,85.71,1395414300.00,215.35,9.50,0.16,1020.62
August,2009,185.95,5.19,54.00,14754.00,0.50,4.50,37.52,86.63,1363529100.00,215.83,9.60,0.16,1057.08
September,2009,184.89,5.06,52.90,9535.00,0.50,5.60,37.60,87.36,1337686800.00,215.97,9.80,0.15,1036.19
October,2009,184.77,4.95,47.90,10576.00,0.50,5.20,37.45,87.55,1307862700.00,216.18,10.00,0.12,1095.63
November,2009,184.60,4.88,42.10,11041.00,0.50,5.60,37.53,87.91,1290163900.00,216.33,9.90,0.12,1115.10
December,2009,181.47,4.93,49.20,11284.00,0.50,5.60,37.70,88.23,1265251500.00,215.95,9.90,0.12,1073.87
January,2010,180.56,5.03,40.40,10893.00,0.50,5.90,37.72,89.19,1238676300.00,216.69,9.80,0.11,1104.49
February,2010,180.12,4.99,45.30,10315.00,0.75,5.60,37.73,89.51,1223569500.00,216.74,9.80,0.13,1169.43
March,2010,180.64,4.97,64.10,11772.00,0.75,5.60,37.86,90.14,1210056300.00,217.63,9.90,0.16,1186.69
April,2010,182.33,5.10,58.90,11454.00,0.75,6.20,38.15,90.47,1207485300.00,218.01,9.90,0.20,1089.41
May,2010,183.98,4.89,51.10,12030.00,0.75,6.70,38.41,91.71,1196744500.00,218.18,9.60,0.20,1030.71
June,2010,183.02,4.74,59.20,11598.00,0.75,6.50,38.41,91.93,1190125000.00,217.97,9.40,0.18,1101.60
July,2010,181.85,4.56,51.60,11948.00,0.75,6.40,38.43,92.27,1188987700.00,218.01,9.40,0.18,1049.33
August,2010,181.12,4.43,53.70,12014.00,0.75,6.50,38.53,92.62,1187842400.00,218.31,9.50,0.19,1141.20
September,2010,178.59,4.35,48.50,11922.00,0.75,6.50,38.50,92.87,1185941500.00,218.44,9.50,0.19,1183.26
October,2010,178.29,4.23,43.50,12414.00,0.75,6.30,38.47,92.61,1184920300.00,218.71,9.40,0.19,1180.55
November,2010,177.05,4.30,40.90,12300.00,0.75,6.10,38.48,92.68,1187120200.00,218.80,9.80,0.19,1257.64
December,2010,174.32,4.71,47.60,12605.00,0.75,6.50,38.68,93.57,1192441200.00,219.18,9.30,0.18,1286.12
January,2011,172.28,4.76,36.30,12806.00,0.75,6.90,38.83,93.38,1196027300.00,220.22,9.10,0.17,1327.22
February,2011,170.97,4.95,37.70,13081.00,0.75,7.20,38.92,93.01,1199749400.00,221.31,9.00,0.16,1325.83
